,Accuracy,Precision,Recall,F1,MCC,AUC
logistic_regression,0.8569966219674481,0.7363684489147697,0.6074235807860262,0.6657094998803541,0.5801321400621786,0.9106152248128822
decision_tree,0.8185075237997748,0.6078431372549019,0.6362445414847162,0.6217196500960103,0.5026422721774846,0.7552553262672601
knn,0.8385709898659024,0.6685579196217494,0.617467248908297,0.6419977298524404,0.5387090792991445,0.8650175075363857
naive_bayes,0.623400552768963,0.3770143438994156,0.9296943231441048,0.5364747385662089,0.39398806985646273,0.8459625816916185
random_forest,0.8613983007472618,0.7899628252788105,0.5567685589519651,0.6531762295081968,0.5834072838509157,0.9153134161386964
xgboost,0.878288463507012,0.7770508303975843,0.674235807860262,0.7220014028524667,0.6472505082921002,0.9325840446408604
